food_id,date,meal_type,food_item,quantity_prepared,quantity_sold,quantity_wasted,cost_per_unit,total_cost,food_waste_percentage,sold_percentage,waste_cost
FOOD000001,2026-01-01,Breakfast,Dal,69,51,11,57.31,3954.42,15.942028985507244,73.91304347826086,630.4100000000001
FOOD000002,2026-01-01,Breakfast,Chicken Curry,240,221,14,61.02,14645.0,5.833333333333333,92.08333333333333,854.2800000000001
FOOD000003,2026-01-01,Breakfast,Idli,67,56,11,71.8,4810.39,16.417910447761194,83.5820895522388,789.8
FOOD000004,2026-01-01,Breakfast,Rice,126,98,21,48.58,6121.45,16.666666666666664,77.77777777777779,1020.18
FOOD000005,2026-01-01,Lunch,Rice,162,130,31,74.28,12033.46,19.1358024691358,80.24691358024691,2302.68
FOOD000006,2026-01-01,Lunch,Fried Rice,240,222,11,37.5,8999.3,4.583333333333333,92.5,412.5
FOOD000007,2026-01-01,Lunch,Dosa,198,184,12,25.34,5016.88,6.0606060606060606,92.92929292929293,304.08
FOOD000008,2026-01-01,Lunch,Noodles,158,130,23,51.59,8151.04,14.556962025316455,82.27848101265823,1186.5700000000002
FOOD000009,2026-01-01,Snacks,Rice,56,43,10,77.15,4320.39,17.857142857142858,76.78571428571429,771.5
FOOD000010,2026-01-01,Snacks,Noodles,235,186,46,40.64,9551.42,19.574468085106382,79.14893617021276,1869.44
FOOD000011,2026-01-01,Snacks,Idli,186,157,27,28.1,5225.93,14.516129032258066,84.40860215053763,758.7
FOOD000012,2026-01-01,Snacks,Fried Rice,223,193,30,76.7,17104.78,13.452914798206278,86.54708520179372,2301.0
FOOD000013,2026-01-01,Dinner,Dal,228,204,18,32.66,7445.46,7.894736842105263,89.47368421052632,587.8799999999999
FOOD000014,2026-01-01,Dinner,Rice,179,149,30,79.74,14273.1,16.75977653631285,83.24022346368714,2392.2
FOOD000015,2026-01-01,Dinner,Curd Rice,88,74,8,55.28,4864.95,9.090909090909092,84.0909090909091,442.24
FOOD000016,2026-01-01,Dinner,Noodles,110,96,13,70.94,7803.52,11.818181818181818,87.27272727272727,922.22
FOOD000017,2026-01-02,Breakfast,Dosa,94,85,5,61.05,5739.09,5.319148936170213,90.42553191489363,305.25
FOOD000018,2026-01-02,Breakfast,Rice,51,41,3,52.99,2702.62,5.88235294117647,80.3921568627451,158.97
FOOD000019,2026-01-02,Breakfast,Biryani,71,64,7,52.78,3747.21,9.859154929577464,90.14084507042254,369.46000000000004
FOOD000020,2026-01-02,Breakfast,Dal,60,54,2,68.99,4139.39,3.3333333333333335,90.0,137.98
